id_stat;jmeno
1;Afghánistán
2;Alandy
3;Albánie
4;Alžírsko
5;Americká Samoa
6;Americké Panenské ostrovy
7;Andorra
8;Angola
9;Anguilla
10;Antarktida
11;Antigua a Barbuda
12;Argentina
13;Arménie
14;Aruba
15;Austrálie
16;Ázerbájdžán
17;Bahamy
18;Bahrajn
19;Bangladéš
20;Barbados
21;Belgie
22;Belize
23;Bìlorusko
24;Benin
25;Bermudy
26;Bhútán
27;Bolívie
28;Bonaire, Svatý Eustach a Saba
29;Bosna a Hercegovina
30;Botswana
31;Bouvetùv ostrov
32;Brazílie
33;Britské indickooceánské území
34;Britské Panenské ostrovy
35;Brunej
36;Bulharsko
37;Burkina Faso
38;Burundi
39;Cookovy ostrovy
40;Curaçao
41;Èad
42;Èerná Hora
43;Èesko
44;Èína
45;Dánsko
46;Demokratická republika Kongo
47;Dominika
48;Dominikánská republika
49;Džibutsko
50;Egypt
51;Ekvádor
52;Eritrea
53;Estonsko
54;Etiopie
55;Faerské ostrovy
56;Falklandy
57;Fidži
58;Filipíny
59;Finsko
60;Francie
61;Francouzská Guyana
62;Francouzská jižní a antarktická území
63;Francouzská Polynésie
64;Gabon
65;Gambie
66;Ghana
67;Gibraltar
68;Grenada
69;Grónsko
70;Gruzie
71;Guadeloupe
72;Guam
73;Guatemala
74;Guernsey
75;Guinea
76;Guinea-Bissau
77;Guyana
78;Haiti
79;Heardùv ostrov a MacDonaldovy ostrovy
80;Honduras
81;Hongkong
82;Chile
83;Chorvatsko
84;Indie
85;Indonésie
86;Irák
87;Írán
88;Irsko
89;Island
90;Itálie
91;Izrael
92;Jamajka
93;Japonsko
94;Jemen
95;Jersey
96;Jižní Afrika
97;Jižní Georgie a Jižní Sandwichovy ostrovy
98;Jižní Súdán
99;Jordánsko
100;Kajmanské ostrovy
101;Kambodža
102;Kamerun
103;Kanada
104;Kapverdy
105;Katar
106;Kazachstán
107;Keòa
108;Kiribati
109;Kokosové (Keelingovy) ostrovy
110;Kolumbie
111;Komory
112;Konžská republika
113;Korejská lidovì demokratická republika
114;Korejská republika
115;Kosovo
116;Kostarika
117;Kuba
118;Kuvajt
119;Kypr
120;Kyrgyzstán
121;Laos
122;Lesotho
123;Libanon
124;Libérie
125;Libye
126;Lichtenštejnsko
127;Litva
128;Lotyšsko
129;Lucembursko
130;Macao
131;Madagaskar
132;Maïarsko
133;Makedonie
134;Malajsie
135;Malawi
136;Maledivy
137;Mali
138;Malta
139;Man
140;Maroko
141;Marshallovy ostrovy
142;Martinik
143;Mauricius
144;Mauritánie
145;Mayotte
146;Menší odlehlé ostrovy USA
147;Mexiko
148;Mikronésie
149;Moldavsko
150;Monako
151;Mongolsko
152;Montserrat
153;Mosambik
154;Myanmar
155;Namibie
156;Nauru
157;Nìmecko
158;Nepál
159;Niger
160;Nigérie
161;Nikaragua
162;Niue
163;Nizozemsko
164;Norfolk
165;Norsko
166;Nová Kaledonie
167;Nový Zéland
168;Omán
169;Pákistán
170;Palau
171;Palestina
172;Panama
173;Papua Nová Guinea
174;Paraguay
175;Peru
176;Pitcairn
177;Pobøeží slonoviny
178;Polsko
179;Portoriko
180;Portugalsko
181;Rakousko
182;Réunion
183;Rovníková Guinea
184;Rumunsko
185;Rusko
186;Rwanda
187;Øecko
188;Saint Pierre a Miquelon
189;Salvador
190;Samoa
191;San Marino
192;Saúdská Arábie
193;Senegal
194;Severní Mariany
195;Seychely
196;Sierra Leone
197;Singapur
198;Slovensko
199;Slovinsko
200;Somálsko
201;Spojené arabské emiráty
202;Spojené státy
203;Srbsko
204;Støedoafrická republika
205;Súdán
206;Surinam
207;Svatá Helena
208;Svatá Lucie
209;Svatý Bartolomìj
210;Svatý Kryštof a Nevis
211;Svatý Martin (FR)
212;Svatý Martin (NL)
213;Svatý Tomáš a Princùv ostrov
214;Svatý Vincenc a Grenadiny
215;Svazijsko
216;Sýrie
217;Šalomounovy ostrovy
218;Španìlsko
219;Špicberky a Jan Mayen
220;Šrí Lanka
221;Švédsko
222;Švýcarsko
223;Tádžikistán
224;Tanzanie
225;Thajsko
226;Tchaj-wan
227;Togo
228;Tokelau
229;Tonga
230;Trinidad a Tobago
231;Tunisko
232;Turecko
233;Turkmenistán
234;Turks a Caicos
235;Tuvalu
236;Uganda
237;Ukrajina
238;Uruguay
239;Uzbekistán
240;Vánoèní ostrov
241;Vanuatu
242;Vatikán
243;Velká Británie
244;Venezuela
245;Vietnam
246;Východní Timor
247;Wallis a Futuna
248;Zambie
249;Západní Sahara
250;Zimbabwe
